# Out-of-sample ladder: Calgary corpus (18 files), LZ4HC-9 literals, PH, M4, reps=7
# 372KB total lits; files 2.9-66KB; extractor identical to the Silesia pipeline.
# Nudge/auto/exact design frozen from Silesia tuning — nothing adjusted for Calgary.
# (bench gained inner-loop timing so tiny files span >= ~8MB per timed region)

LADDER G=4K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
== geomean over 18 files (G=8K)
   off: enc-e2e    729 ( +0.0%)  dec-e2e   5923 ( +0.0%)  enc-k   3358  dec-k   7742  ratio +0.000pp
 nudge: enc-e2e    626 (-14.1%)  dec-e2e   6868 (+16.0%)  enc-k   3883  dec-k   9139  ratio -0.135pp
  auto: enc-e2e    382 (-47.6%)  dec-e2e   8144 (+37.5%)  enc-k   4578  dec-k  11228  ratio -0.160pp
 exact: enc-e2e    178 (-75.6%)  dec-e2e   8328 (+40.6%)  enc-k   4741  dec-k  11600  ratio -0.208pp

LADDER G=16K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
bib.lits        off   0.7277       376      6461      2273      6925      26.0         -
bib.lits      nudge   0.7277       647      9061      3811      9871      15.0       0/1
bib.lits       auto   0.7295       373     10513      4889     12481      29.0       1/1
bib.lits      exact   0.7298       247     10474      4762     12463      45.0       1/1
book1.lits      off   0.6667      1286      7821      3966      8994       7.0         -
book1.lits    nudge   0.6667      1067      8037      4061      9405       9.2       2/5
book1.lits     auto   0.6669       812     10568      5137     12772      13.8       5/5
book1.lits    exact   0.6665       505     10622      5158     12830      23.8       5/5
book2.lits      off   0.7125      1152      7347      3825      8463       9.0         -
book2.lits    nudge   0.7137      1077      8531      4307      9804      10.3       2/3
book2.lits     auto   0.7124       796     10437      4974     12262      15.7       3/3
book2.lits    exact   0.7147       461     11141      5257     12823      29.3       3/3
geo.lits        off   0.7765       770      7363      3883      8146      16.0         -
geo.lits      nudge   0.7774       758      8474      4698      9933      17.0       4/4
geo.lits       auto   0.7765       565      6787      3880      8091      23.3       0/4
